total_bill,tip,Gender,smoker,day,time,size,PaymentID
24.08,2.92,Female,No,Thur,Lunch,4,435879835
11.69,2.31,Male,No,Thur,Lunch,2,434957851
13.42,1.68,Female,No,Thur,Lunch,2,432498072
14.26,2.5,Male,No,Thur,Lunch,2,431300025
15.95,2,Male,No,Thur,Lunch,2,430738596
12.48,2.52,Female,No,Thur,Lunch,2,438607554
29.8,4.2,Female,No,Thur,Lunch,6,435492065
8.52,1.48,Male,No,Thur,Lunch,2,439592751
14.52,2,Female,No,Thur,Lunch,2,430729508
11.38,2,Female,No,Thur,Lunch,2,434868297
22.82,2.18,Male,No,Thur,Lunch,3,437107407
19.08,1.5,Male,No,Thur,Lunch,2,437213690
20.27,2.83,Female,No,Thur,Lunch,2,431759807
11.17,1.5,Female,No,Thur,Lunch,2,437887300
12.26,2,Female,No,Thur,Lunch,2,435122303
18.26,3.25,Female,No,Thur,Lunch,2,439942981
8.51,1.25,Female,No,Thur,Lunch,2,435823572
10.33,2,Female,No,Thur,Lunch,2,430689369
14.15,2,Female,No,Thur,Lunch,2,435931230
16,2,Male,Yes,Thur,Lunch,2,436840595
13.16,2.75,Female,No,Thur,Lunch,2,435047013
17.47,3.5,Female,No,Thur,Lunch,2,434648807
34.3,6.7,Male,No,Thur,Lunch,6,436579389
41.19,5,Male,No,Thur,Lunch,5,432309337
27.05,5,Female,No,Thur,Lunch,6,439464849
16.43,2.3,Female,No,Thur,Lunch,2,436707787
8.35,1.5,Female,No,Thur,Lunch,2,436715335
18.64,1.36,Female,No,Thur,Lunch,3,434122303
11.87,1.63,Female,No,Thur,Lunch,2,435210924
9.78,1.73,Male,No,Thur,Lunch,2,438817037
7.51,2,Male,No,Thur,Lunch,2,431479356
14.07,2.5,Male,No,Sun,Dinner,2,435455710
13.13,2,Male,No,Sun,Dinner,2,432212575
17.26,2.74,Male,No,Sun,Dinner,3,439646624
24.55,2,Male,No,Sun,Dinner,4,439905841
19.77,2,Male,No,Sun,Dinner,4,436329215
29.85,5.14,Female,No,Sun,Dinner,5,430926907
48.17,5,Male,No,Sun,Dinner,6,438103780
25,3.75,Female,No,Sun,Dinner,4,432841771
13.39,2.61,Female,No,Sun,Dinner,2,430280882
16.49,2,Male,No,Sun,Dinner,4,432848573
21.5,3.5,Male,No,Sun,Dinner,4,439616960
12.66,2.5,Male,No,Sun,Dinner,2,436807531
16.21,2,Female,No,Sun,Dinner,3,436206895
13.81,2,Male,No,Sun,Dinner,2,438422322
17.51,3,Female,Yes,Sun,Dinner,2,437551257
24.52,3.48,Male,No,Sun,Dinner,3,439230471
20.76,2.24,Male,No,Sun,Dinner,2,436549817
31.71,4.5,Male,No,Sun,Dinner,4,430306460
10.59,1.61,Female,Yes,Sat,Dinner,2,430740459
10.63,2,Female,Yes,Sat,Dinner,2,438693590
50.81,10,Male,Yes,Sat,Dinner,3,430493810
15.81,3.16,Male,Yes,Sat,Dinner,2,433232592
7.25,5.15,Male,Yes,Sun,Dinner,2,434146459
31.85,3.18,Male,Yes,Sun,Dinner,2,431979572
16.82,4,Male,Yes,Sun,Dinner,2,431257540
32.9,3.11,Male,Yes,Sun,Dinner,2,432671383
17.89,2,Male,Yes,Sun,Dinner,2,433182702
14.48,2,Male,Yes,Sun,Dinner,2,432550231
9.6,4,Female,Yes,Sun,Dinner,2,430548874
34.63,3.55,Male,Yes,Sun,Dinner,2,439021924
34.65,3.68,Male,Yes,Sun,Dinner,4,430553520
23.33,5.65,Male,Yes,Sun,Dinner,2,435685193
45.35,3.5,Male,Yes,Sun,Dinner,3,436814518
23.17,6.5,Male,Yes,Sun,Dinner,4,433841098
40.55,3,Male,Yes,Sun,Dinner,2,431413361
20.69,5,Male,No,Sun,Dinner,5,430970033
20.9,3.5,Female,Yes,Sun,Dinner,3,439334601
30.46,2,Male,Yes,Sun,Dinner,5,433751271
18.15,3.5,Female,Yes,Sun,Dinner,3,431262335
23.1,4,Male,Yes,Sun,Dinner,3,438505745
15.69,1.5,Male,Yes,Sun,Dinner,2,435026487
19.81,4.19,Female,Yes,Thur,Lunch,2,438272080
28.44,2.56,Male,Yes,Thur,Lunch,2,439446981
15.48,2.02,Male,Yes,Thur,Lunch,2,435685159
16.58,4,Male,Yes,Thur,Lunch,2,433382791
7.56,1.44,Male,No,Thur,Lunch,2,436765942
10.34,2,Male,Yes,Thur,Lunch,2,433853080
43.11,5,Female,Yes,Thur,Lunch,4,436456601
13,2,Female,Yes,Thur,Lunch,2,437100100
13.51,2,Male,Yes,Thur,Lunch,2,435615175
18.71,4,Male,Yes,Thur,Lunch,3,437335200
12.74,2.01,Female,Yes,Thur,Lunch,2,435671910
13,2,Female,Yes,Thur,Lunch,2,433204230
16.4,2.5,Female,Yes,Thur,Lunch,2,431068157
20.53,4,Male,Yes,Thur,Lunch,4,434112117
16.47,3.23,Female,Yes,Thur,Lunch,3,437121457
26.59,3.41,Male,Yes,Sat,Dinner,3,433570324
38.73,3,Male,Yes,Sat,Dinner,4,437732055
24.27,2.03,Male,Yes,Sat,Dinner,2,435957783
12.76,2.23,Female,Yes,Sat,Dinner,2,439942551
30.06,2,Male,Yes,Sat,Dinner,3,437210433
25.89,5.16,Male,Yes,Sat,Dinner,4,432905164
48.33,9,Male,No,Sat,Dinner,4,438170226
13.27,2.5,Female,Yes,Sat,Dinner,2,437010256
28.17,6.5,Female,Yes,Sat,Dinner,3,437021458
12.9,1.1,Female,Yes,Sat,Dinner,2,436600302
28.15,3,Male,Yes,Sat,Dinner,5,433179635
11.59,1.5,Male,Yes,Sat,Dinner,2,435076356
7.74,1.44,Male,Yes,Sat,Dinner,2,436979242
30.14,3.09,Female,Yes,Sat,Dinner,4,433000082
12.16,2.2,Male,Yes,Fri,Lunch,2,431984441
13.42,3.48,Female,Yes,Fri,Lunch,2,435801474
8.58,1.92,Male,Yes,Fri,Lunch,1,435286061
15.98,3,Female,No,Fri,Lunch,3,432879064
13.42,1.58,Male,Yes,Fri,Lunch,2,436306303
16.27,2.5,Female,Yes,Fri,Lunch,2,437628391
10.09,2,Female,Yes,Fri,Lunch,2,437492889
20.45,3,Male,No,Sat,Dinner,4,439708804
13.28,2.72,Male,No,Sat,Dinner,2,432956884
22.12,2.88,Female,Yes,Sat,Dinner,2,439679235
24.01,2,Male,Yes,Sat,Dinner,4,432620760
15.69,3,Male,Yes,Sat,Dinner,3,433294294
11.61,3.39,Male,No,Sat,Dinner,2,431745259
10.77,1.47,Male,No,Sat,Dinner,2,436727329
15.53,3,Male,Yes,Sat,Dinner,2,439430460
10.07,1.25,Male,No,Sat,Dinner,2,430054733
12.6,1,Male,Yes,Sat,Dinner,2,432716346
32.83,1.17,Male,Yes,Sat,Dinner,2,430471010
35.83,4.67,Female,No,Sat,Dinner,3,438433576
29.03,5.92,Male,No,Sat,Dinner,3,430525394
27.18,2,Female,Yes,Sat,Dinner,2,430257652
22.67,2,Male,Yes,Sat,Dinner,2,432834186
17.82,1.75,Male,No,Sat,Dinner,2,434954363
18.78,3,Female,No,Thur,Dinner,2,438291018
